num,x,y,spp,dbh01,recruit,ds,ss,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ds8,ds9,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9
3,7.757355185,0.351795994,bp,1.89,1,64.18624051857122,265.0783365658782,0.0,0.0,0.0,12.848803807218607,19.222223048929575,0.0,15.675983226857046,10.296009522197894,6.143220913368108,262.77338591385404,0.0,0.0,0.7087718163173972,0.0,0.0,0.0,1.596178835706788,0.0
4,9.627327531,3.056552398,bp,1.24,1,133.51835992365355,133.67447733375215,55.571211428638414,0.0,8.358418487285746,0.0,8.532174448087833,14.406845178948137,20.862098077212057,16.98104238916799,8.806569914313373,124.0,0.0,0.0,0.6773759427762398,0.0,0.0,1.3123244135601613,1.9633776880776643,5.721399289338071
56,13.454595,14.84395226,bp,0.23,1,74.20163649044997,40.93427574750332,0.0,0.0,34.072972379358994,7.5524178994726014,8.236113602116788,2.663778792861646,10.017889571174747,3.320940405955705,8.337523839509483,23.0,0.0,0.0,1.7193088155353284,6.266075456124868,3.878257012614924,4.081277042914341,1.9893574203138649,0.0
59,17.15797834,18.36850519,bp,2.1,1,78.04575874820858,266.62728766245317,0.0,30.03476972514666,0.0,3.663629105874983,11.308746698955076,3.6852462199120866,18.224182244701304,9.650863343452276,1.478321410166205,258.63891494837657,0.0,0.0,4.517178600422596,1.2862260859648473,0.044987891009835815,0.0,0.0,2.1399801366793256
68,0.173054468,11.40941554,bp,0.36,1,70.68435162204504,90.48261162459194,0.0,0.0,0.0,29.763588975124573,20.25514944449532,7.770535799336669,9.68869330879434,3.2063840942941306,0.0,81.7515885651282,0.0,0.0,0.0,0.0,5.426573438751078,1.8224256479253478,1.4820239727873235,0.0
69,0.169432777,11.51052724,bp,0.49,1,70.31345531258451,245.1768747504072,0.0,0.0,0.0,29.31740260477399,20.41987455338511,7.841339176711116,7.112969314688882,5.621869663025411,0.0,236.36963878119988,0.0,0.0,0.0,0.0,5.524882986537313,1.798424382738395,1.4839285999316092,0.0
70,0.169432777,11.51052724,bp,0.91,1,70.31345531258451,245.1768747504072,0.0,0.0,0.0,29.31740260477399,20.41987455338511,7.841339176711116,7.112969314688882,5.621869663025411,0.0,236.36963878119988,0.0,0.0,0.0,0.0,5.524882986537313,1.798424382738395,1.4839285999316092,0.0
75,9.752137296,10.3916863,bp,0.26,1,66.08206124918554,69.35568911812048,0.0,0.0,11.59597565737084,6.327695731295523,8.321032536221718,11.007900434329091,13.4749206444022,13.785384873798469,1.569151371767698,58.37954736284806,0.0,5.70756512231078,0.0,0.0,0.03971965393584231,3.5341954089977645,0.9607136184715104,0.7339479515565175
76,9.48661202,10.79661307,bp,0.27,1,65.47266476669016,65.87138193152443,0.0,0.0,9.378038901360544,6.75743085900059,17.247663759753202,5.597838321383028,14.415226582866259,9.790243561061585,2.2862227812649527,54.864133449419,0.0,5.90508838451127,0.0,0.0,0.040578927707445,3.3520757444787486,1.7095054254079494,0.0
87,1.861904153,23.86750491,bp,1.6,1,104.46625934970204,190.32173028768185,26.40108446792758,14.161613040594728,0.0,0.0,14.782885314576324,22.518486830447817,4.559786172635054,12.784000038902146,9.258403484618388,186.12164503382039,0.0,0.0,0.0,0.0,0.0,0.0,3.5743555992450817,0.6257296546163795
104,13.19007931,26.49414861,bp,1.82,1,63.09290981745595,239.7238028357478,0.0,0.0,0.0,4.448664173344906,6.712921374688101,15.952477514092982,17.707457439200365,12.340518261726851,5.930871054402753,236.88773739150287,0.0,0.0,0.0,0.0,0.4077388539550869,0.14952158800608217,0.4203665671479717,1.8584384351357686
108,17.92018926,31.12720986,bp,0.99,1,60.68081090452704,106.881981835702,0.0,12.467004046914957,7.205571624621902,10.544266630663147,0.0,0.0,14.06655908663964,11.662108903781618,4.735300611905776,99.0,0.0,0.0,0.0,4.625262461718663,0.0,2.375008857545509,0.6416129019102516,0.2400976145275903
116,8.573776002,33.91851823,bp,1.91,1,89.51398191800934,197.95585444694285,21.72634545240776,0.0,12.707627690042322,11.817828448853536,4.732813145118721,1.5550590169457332,10.194581035379711,10.33209160410118,16.447635525160365,191.0,0.0,0.0,0.0,1.5850598494770773,0.7999794161207401,2.737811774953922,0.0,1.833003406391104
123,3.371224653,35.80305414,bp,1.39,1,74.99570137791214,220.191740521855,17.668485003762214,0.0,0.0,5.971168412549208,13.111211124511833,11.41380332139488,14.663940063469608,8.820008995486601,3.347084456737784,217.34917135596027,0.0,1.9418377138458771,0.0,0.0,0.48601350775065744,0.0,0.0,0.41471794429820175
125,4.98342774,37.21790155,bp,1.28,1,75.66094990304671,144.10745455069227,0.0,9.961340197710582,0.0,8.395276725077775,12.617773259027995,3.736864832498132,8.216206428670759,8.952608538838208,23.78087992122326,133.76122117954708,0.0,9.59002553935606,0.0,0.3918296011731729,0.0,0.0,0.0,0.36437823061594443
176,39.41650565,46.04528919,bp,0.62,1,79.92525376404554,175.4013349585686,0.0,0.0,0.0,20.957306775728952,20.175504705287718,12.650420731628467,13.008445571295558,6.310787345268208,6.822788634836622,162.3775877335524,0.0,2.4107416011297023,0.0,7.761961772876809,0.4408895565520772,0.0,0.0,2.4101542944576386
195,31.86148837,49.31583926,bp,0.8,1,140.95931335140048,153.5794618253423,17.63925544229994,0.0,0.0,58.48085880311333,12.46669316933355,23.725181844925988,10.026368570194924,13.629427440671833,4.991528080860918,143.8468973610407,0.0,1.2785922047195342,0.0,3.607721969463783,0.0,0.0,0.0,4.846250290118276
