num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,kabudachi,growth
506,48.94773664,-16.31193386,bp,1.15,1.71,2.8,0.0,0.0,0.0,0.0,0.0,0.319193020070912,4.317834011754877,9.754789220543477,14.656384280110862,86.39874704009027,0.18666666666666668
508,49.10283255,-16.13993808,bp,2.89,3.310422816,3.7,0.0,0.0,0.0,0.0,0.0,1.176088721719784,3.606181736077927,9.629140316789464,14.705466381734022,52.00162842415596,0.14014093866666663
509,49.24614009,-16.42623477,bp,2.33,2.48,3.6,0.0,0.0,0.0,0.0,0.0,0.3188582008051661,4.328707169514099,10.073833584427167,13.797704199678535,80.20206557027986,0.04999999999999997
527,30.3484735,-13.36101713,bp,19.03493119,19.41690306,11.3,0.0,13.519275969806023,6.6125365570485775,20.321424069303642,3.672761048667047,1.8444625060748157,6.368716723939038,3.513542579268739,4.699712932665732,46.523879394345755,0.127323956666667
528,30.24135332,-13.00215172,bp,0.61,0.72,1.3,0.0,11.710223505025347,8.022544728244203,18.29066716603447,4.621303726990316,1.424150917580765,8.126091547783778,2.1164033487476983,4.715342302589925,168.900052515491,0.03666666666666666
529,30.10224578,-13.02604714,bp,2.34,2.57,2.8,0.0,10.65556622805289,10.358542558013152,17.059227186737907,4.59983579014571,2.2863043547985593,5.328758740325634,4.011544479980863,4.707833119724659,181.9301068019817,0.07666666666666666
530,30.07259681,-12.99725973,bp,0.28,0.7,1.4,0.0,10.385606908020842,15.556205913267132,12.030320813611276,4.6168250244706055,2.2868801972552912,5.314678460244527,4.013501280942909,5.002735904171081,242.3316645199599,0.13999999999999999
531,30.27203164,-12.78945004,bp,1.3,1.48,2.7,0.0,11.230351194967684,7.530114235412971,12.453613118208873,10.387617569019472,1.316892399292259,9.508629934911413,0.8482731106285694,5.408070203736718,136.49779438026118,0.05999999999999998
532,30.20966042,-12.82583632,bp,2.49,2.67,2.6,0.0,10.90257011275031,8.05192880264866,12.372896172346135,10.444871072491713,1.3054765949383123,8.087013322090264,2.259291321347252,5.132434977114901,144.3844209873751,0.05999999999999991
533,30.13886071,-12.9397333,bp,5.602253997,5.697746963,5.2,0.0,10.724651606402281,10.18806189276306,16.74598238461231,4.655828717783276,1.2788880735249404,8.239980128822685,2.112796390515796,4.729731535916877,147.1882621075506,0.031830988666666706
