,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),2.14730063943828,0.324013298324022,6.62719910122615,3.42116056455136e-11,375.043481692212,577
dbh01,-0.0712816117936019,0.0296598611120885,-2.40330227859866,0.0162477507268475,,
crd,0.00561638043435567,0.00421453834200751,1.33262055736345,0.182656355447557,,
kabudachi,0.000432157212080143,0.000428712192592496,1.00803573947084,0.313437305093346,,
