num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,kabudachi,growth
27,1.225162396,21.39949173,lc,0.64,0.0,1.7,0.0,0.0,0.0,1.278365418214918,1.3880285880536178,0.0,13.31342124527675,23.07446009928519,1.1651085701769728,0.0,-0.21333333333333335
28,0.569129834,24.63519053,lc,1.18,0.0,2.2,0.0,0.0,0.0,2.2004468766957035,0.6712348859535879,9.43114331151352,0.5689294890028906,3.267265798614941,16.596476990251823,6.020737847351315,-0.3933333333333333
29,0.666363461,24.8645719,lc,1.5,2.03,2.0,0.0,0.0,0.0,2.2566477964094074,0.698895248681808,10.161302553764463,0.0,3.5617383002031793,16.251323593660594,4.736313773249701,0.1766666666666666
42,6.367279825,26.70971293,lc,0.5,1.16,1.7,0.0,6.998862099465652,0.0,4.341279915385735,15.625708313310351,2.722414324397875,3.3980351713749437,0.10509980006943695,2.0440440788827003,41.39662815053937,0.21999999999999997
43,6.053356138,26.91469301,lc,0.86,1.74,1.9,0.0,0.0,6.199575942559531,4.204083561422393,10.204712050117198,7.963106192854301,2.6251590089818397,0.10919606212545106,0.7055067670645229,39.87455335213653,0.29333333333333333
45,3.822607795,29.70425523,lc,1.32,2.641972055,2.1,0.0,0.9605983325414522,3.546970828383082,3.899597392330536,0.5469712418094347,6.47319615731106,0.27976673872574276,1.837943193716548,15.713582002809218,0.0,0.4406573516666667
46,2.086986848,29.18590692,lc,1.74,0.0,3.8,0.0,3.394386717147913,0.9820935231217229,0.0,6.620449663401758,0.0,4.826854700019012,3.805574670406716,0.8602400502110408,2.4361050890620444,-0.58
48,0.327064133,28.51372005,lc,1.98,0.0,2.8,0.0,3.830163911503624,1.8323991788277105,2.0204205039735994,0.0,0.48056561541921256,5.0601509072354816,5.070242932408796,1.9593629434171862,4.350367731509188,-0.66
49,0.07138306,28.17968853,lc,1.83,0.0,2.9,0.0,0.0,5.124077798640079,1.5301955118458996,0.6454626646201496,0.0,5.68803579305847,4.899474906701308,1.988104573510938,4.7069552504853505,-0.61
56,4.210054813,38.68148652,lc,1.74,0.0,2.1,0.0,10.445769797412911,0.0,4.494246914490378,11.335817905298812,0.0,0.0,3.6357508713845923,0.5000245392001974,15.621834063991155,-0.58
58,5.641860825,31.12071519,lc,0.62,1.3,1.8,0.0,2.843275557404279,0.572505673147642,2.150519538672344,4.201604935911684,1.3095435233777295,4.1313187404736835,8.056349704834963,9.366703689873868,0.0,0.22666666666666668
62,8.140401059,40.77185525,lc,1.64,0.0,2.5,0.0,5.0569416938118,11.800599818235224,0.6302424407864508,7.187906031746963,2.1489180706960602,7.174869936871321,1.6745387659054602,2.576033313127107,5.015553661106475,-0.5466666666666666
64,6.952318085,42.0499359,lc,1.38,1.98,3.2,0.0,0.939827107846428,1.0727047512345647,1.6648283585803696,16.14590859957733,2.9206370982165413,5.562600157688417,0.12382277699177528,2.3832474435152036,32.37016017256009,0.20000000000000004
71,9.974723798,48.32314466,lc,0.6,0.82,1.7,0.0,7.153457998176234,12.291283894500095,1.8323127862869812,0.0,6.525452690008405,7.616314945764456,1.8941520903383449,1.5725690062057796,0.0,0.07333333333333332
72,10.97700002,48.18155678,lc,0.8,1.23,1.8,0.0,14.336182255426829,0.0,2.1707655691734318,2.867316949201621,0.0,8.538421156306038,4.932700063052888,1.5195123279239164,13.573677915647929,0.1433333333333333
78,17.193367,46.91190359,lc,1.86,0.0,2.5,0.0,1.936602621585203,3.1057233252379364,0.9451943534660174,4.553464225817564,5.910331855951357,5.429566007565214,0.12844195413258486,7.565583522279595,0.0,-0.62
83,12.78503073,39.99139538,lc,1.61,2.76929601,2.9,0.0,0.0,6.23123544130641,0.0,5.748528943426429,2.8814642834313884,4.567036829597749,3.4068530269049404,2.4322090144028694,0.0,0.38643200333333333
86,17.13405091,31.25496777,lc,0.82,1.58,1.8,0.0,0.0,0.0,12.326618109670587,10.981785326050563,1.4158426032871487,0.0,0.7927041045232388,4.336327244756778,4.229439233901115,0.25333333333333335
87,17.51724033,31.15971287,lc,1.67,3.119436885,2.5,0.0,0.0,0.623369918333552,15.669594789214061,8.593023772088305,1.3309368152408523,0.0,0.5136828561315812,5.322366558043324,2.076730641795757,0.4831456283333333
101,18.75067109,23.47523147,lc,1.19,0.0,2.1,0.0,2.9150060623231475,1.679925247248524,0.0,3.358895876789732,4.307910198177013,0.16775069193506287,1.1544957256984323,2.0765843536669486,0.0,-0.39666666666666667
102,18.88895975,21.51976962,lc,1.53,0.0,2.6,0.0,4.975187130940472,0.9398720550971363,0.0,0.0,0.0,3.6579298160254052,4.200564427341519,7.6758150364956705,0.0,-0.51
104,18.4808763,20.58078494,lc,1.34,0.0,2.1,0.0,4.467653678613932,0.4093576711089309,0.7257921070393093,0.0,0.33695040213992417,2.6380599089119765,7.489196605723765,5.957544817504329,0.0,-0.4466666666666667
113,13.69597415,10.57216703,lc,1.47,0.0,2.2,0.0,0.0,0.0,0.0,4.431013798177939,0.21315175915541681,1.1608414890970482,2.1223735885006594,5.593014248263183,0.0,-0.49
114,14.36820512,6.433147471,lc,0.14,1.02,1.4,0.0,0.0,0.23872533133441048,0.0,0.35056308822901977,2.260736897364346,0.0,5.38149779384425,4.447259232420256,0.0,0.29333333333333333
115,16.9360032,5.527596549,lc,0.65,1.25,1.8,0.0,0.0,0.05141776367202688,0.0,0.0,2.288372911327022,6.257792837591866,3.6226712932373335,7.361568799329978,0.0,0.19999999999999998
