,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),0.292957365843094,0.0165724016898194,17.6774236665444,1.08204028915817e-53,-629.555900226839,461
dbh01,-0.00520730563931764,0.00066183806520935,-7.8679452165848,2.6201667854891e-14,,
crd,-0.00129136241984925,0.000199736458236233,-6.46533152361163,2.59439239371603e-10,,
