num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,crd,kabudachi,death
1,2.971934265,8.798670724,lc,13.11436731,0.0,9.0,0.0,27.681882030488097,0.0,0.0,7.1823884044305215,0.0,0.0,1.9648968375189755,3.2516266633180098,40.0807939357556,0.0,0
16,5.112872629,4.97445664,lc,22.98197378,0.0,9.8,0.0,0.0,0.0,5.521033019744915,11.22297227913278,0.0,0.0,0.12960708286028308,1.5946487552892983,18.468261137027277,0.0,0
17,9.484544485,3.861603987,lc,12.47774754,0.0,9.4,0.0,0.0,0.0,0.0,5.094547187947008,0.025365408669825396,2.908473733184386,6.626715594384556,5.326202357847512,19.981304282033285,0.0,0
18,9.983803476,12.31994346,lc,9.708451529,0.0,7.6,0.0,0.0,0.0,0.0,0.35827097972260985,1.8924135076023327,12.192473615361097,1.9067271744714402,4.153173352200518,20.503058629357998,0.0,0
26,1.739478099,16.78526919,lc,3.787887646,4.901972247,4.1,0.0,0.0,0.0,0.0,1.4286755568376663,10.512248594243497,0.0,0.25878983522193544,21.087095018223696,33.286809004526795,0.0,1
27,1.225162396,21.39949173,lc,0.64,0.0,1.7,0.0,0.0,0.0,1.278365418214918,1.3880285880536178,0.0,13.31342124527675,23.07446009928519,1.1651085701769728,40.219383921007456,0.0,0
28,0.569129834,24.63519053,lc,1.18,0.0,2.2,7.153256183950845,0.0,0.0,2.2004468766957035,0.6712348859535879,9.43114331151352,0.5689294890028906,3.267265798614941,16.596476990251823,39.88875353598331,0.0,0
29,0.666363461,24.8645719,lc,1.5,2.03,2.0,5.31987727764983,0.0,0.0,2.2566477964094074,0.698895248681808,10.161302553764463,0.0,3.5617383002031793,16.251323593660594,38.249784770369274,0.0,1
39,7.61410083,23.66441926,lc,8.785352859,0.0,5.2,0.0,51.018334247184626,4.073221750526195,3.7754391504985465,0.0,1.5602211791670635,5.260965838073203,2.2480256574498547,1.535566454783984,69.47177427768348,0.0,0
40,6.420031139,24.87306887,lc,12.8597194,0.0,8.2,0.0,11.765343168932132,0.4145996615292552,23.736319436024424,0.0,1.5662870498544925,1.6355480699327318,8.672525838500043,0.0,47.79062322477308,0.0,0
41,6.091883727,26.62487378,lc,11.26816997,0.0,4.0,4.67658960292913,7.215343025428985,0.0,4.270917492764608,14.28991864634822,3.94970466602115,3.2994049462715895,0.11169655798545085,2.7069478417998605,40.52052277954899,0.0,0
42,6.367279825,26.70971293,lc,0.5,1.16,1.7,41.39662815053937,6.998862099465652,0.0,4.341279915385735,15.625708313310351,2.722414324397875,3.3980351713749437,0.10509980006943695,2.0440440788827003,76.63207185342607,0.0,1
43,6.053356138,26.91469301,lc,0.86,1.74,1.9,39.87455335213653,0.0,6.199575942559531,4.204083561422393,10.204712050117198,7.963106192854301,2.6251590089818397,0.10919606212545106,0.7055067670645229,71.88589293726176,0.0,1
44,6.760642203,30.02306425,lc,4.456338407,0.0,4.2,0.0,0.39557831667846516,1.2593207300084939,5.409437544268467,0.7813552741284626,4.252356614818103,4.5014186343960505,9.355782413193936,6.192166525995281,32.147416053487255,0.0,0
45,3.822607795,29.70425523,lc,1.32,2.641972055,2.1,0.0,0.9605983325414522,3.546970828383082,3.899597392330536,0.5469712418094347,6.47319615731106,0.27976673872574276,1.837943193716548,15.713582002809218,33.258625887627076,0.0,1
46,2.086986848,29.18590692,lc,1.74,0.0,3.8,2.4361050890620444,3.394386717147913,0.9820935231217229,0.0,6.620449663401758,0.0,4.826854700019012,3.805574670406716,0.8602400502110408,22.92570441337021,0.0,0
47,1.795639267,29.97974346,lc,2.06,3.565070725,3.3,4.982154545567132,0.0,3.079373057265656,0.0,1.6680557494602914,6.185426419009884,3.168577219499166,2.732625495003042,1.933077702170381,23.74929018797555,0.0,1
48,0.327064133,28.51372005,lc,1.98,0.0,2.8,6.17562792106827,3.830163911503624,1.8323991788277105,2.0204205039735994,0.0,0.48056561541921256,5.0601509072354816,5.070242932408796,1.9593629434171862,26.428933913853882,0.0,0
49,0.07138306,28.17968853,lc,1.83,0.0,2.9,8.630198002933053,0.0,5.124077798640079,1.5301955118458996,0.6454626646201496,0.0,5.68803579305847,4.899474906701308,1.988104573510938,28.505549251309898,0.0,0
52,2.36420662,35.45015945,lc,5.092958179,0.0,5.1,0.0,0.0,1.8936081761820023,0.6344625407918054,8.200255867283381,4.508549135010885,6.988420760226452,3.6627344678141,3.394038660701467,29.28206960801009,0.0,0
53,3.391601794,37.77939924,lc,4.329014452,0.0,2.1,0.0,9.916785595233607,6.473367639896454,3.0435711218363637,0.0,10.519474570514717,1.234926284429613,1.6492156972322776,4.23130189761472,37.06864280675775,0.0,0
54,3.183721894,39.87663993,lc,6.939155519,0.0,4.8,22.376469097916562,9.059472175717687,3.0993687665970917,0.0,5.7535521338371405,7.069027048937244,2.9813684773543816,1.0218151355732443,0.0,51.36107283593334,0.0,0
55,3.717645281,39.48857905,lc,14.76957872,0.0,12.0,16.268188055951097,2.4879393491349093,4.307261129523648,1.5692708187042133,11.674828160000207,0.0,2.7369580457295695,0.0,2.0678757083177244,41.11232126736137,0.0,0
56,4.210054813,38.68148652,lc,1.74,0.0,2.1,15.621834063991155,10.445769797412911,0.0,4.494246914490378,11.335817905298812,0.0,0.0,3.6357508713845923,0.5000245392001974,46.03344409177805,0.0,0
57,4.326916842,39.67994641,lc,2.5,0.0,3.2,23.127397526499276,7.712937096080591,5.861848175022384,4.022440665300116,8.86603167331492,0.0,2.696476465094185,0.0,4.43605212654842,56.72318372785989,0.0,0
