crd1,crd2,crd3,onaji1,onaji2,onaji3,kanyu,crd
0,0,0,16.53223242,0,6.032800596,0,0
0,0,0,59.31028548,3.988117946,4.750489328,0,0
0,0,0,6.051104734,4.689865785,0.901414717,0,0
0,1.14988721,0,16.75213312,0.340346479,0,0,1.14988721
0,0,1.237348325,134.6180402,2.395776632,3.443677806,0,1.237348325
0,0,0,719.8045432,0,0.883849206,0,0
0,0,10.59646138,1.739655769,15.39414325,4.464192178,0,10.59646138
0,0,0,28.0659961,8.090423021,7.197503131,0,0
5.561933988,16.77954646,1.312871398,36.31552561,0,17.08351166,0,23.65435185
0,0,0,53.1120634,0,0,0,0
0,0,0,1.659605088,1.198903539,0,0,0
0,0,7.277793168,10.01249904,1.043732607,0,0,7.277793168
0,0,21.64386128,41.91143466,0,0.618912787,0,21.64386128
0,0,0,61.38249552,12.1584253,0,0,0
0,0,0,7.17051408,3.719536944,3.083480446,0,0
0,0,0,24.54137033,0,1.537988182,0,0
0,0,0,5.604493462,0,0,0,0
0,43.00130337,3.245166408,36.79257516,40.67263186,0,0,46.24646978
0,0,1.247188866,40.2777001,2.43847032,3.339346616,0,1.247188866
0,29.74025686,0,59.93426123,0,0,0,29.74025686
0,0,0,21.0832205,0,0,0,0
0,0.730859233,0,0.773996702,4.230453863,1.31477207,0,0.730859233
19.98586458,0.405316199,2.795701631,5.096988519,0,0,0,23.18688241
0,2.785457679,0.331047553,3.718244283,0,1.912938664,0,3.116505232
0,0,0,4.064383624,4.210014477,2.499286274,0,0
0,0,0,6.540640341,9.117392417,0,0,0
0,0,0,2.246757508,4.545885443,0,0,0
0,0,0,7.555444419,0,0,0,0
0,0,0,14.11177182,6.267869512,2.952106273,0,0
0,0,0,19.70287784,1.439009203,0,0,0
0,0,0,97.00163523,0,0,0,0
0,0,0,64.02477508,0,5.841920814,0,0
0,0,0,45.75000831,0,0,0,0
0.686503761,1.034745193,1.368489735,67.56477423,1.788969447,5.766312247,0,3.089738689
0,0.263903306,0,1.027240321,36.98618332,5.347862363,0,0.263903306
0,1.449042735,0,2.982164058,2.030794198,0.540387533,0,1.449042735
0,0,0,29.65113004,9.24859049,0,0,0
0,0,0,7.255518932,0,2.069910104,0,0
0,0,0,3.540616918,0.979040294,0,0,0
0,0,0,147.7443405,0,3.431850873,0,0
0,0,7.996009317,1010.550728,22.23565114,0,0,7.996009317
0,0,0,1.948970592,7.588541978,0,0,0
0,11.79787929,2.272914809,81.83383281,15.63515545,5.849698658,0,14.0707941
0,0,0,7.110965191,1.294082264,12.84588653,0,0
0,0,0,5.564152944,20.94034047,6.550618632,0,0
0,0,0,63.32540559,0,6.349162927,0,0
0,0,0,12.53341465,0.715884276,0.439023764,0,0
0,2.367541807,0,2.445519303,5.556491243,0.760535221,0,2.367541807
0.618588864,0.982447212,1.380730956,128.0244302,1.747644962,6.934921946,0,2.981767032
0,10.57255038,19.28819854,22.30192888,0,3.098945624,0,29.86074892
0,1.049456657,1.000792689,11.15870729,0.661051855,1.11470782,0,2.050249346
15.10204665,0,0,1.75907581,21.16328379,1.976694545,0,15.10204665
0,0,0,39.23426539,1.024409844,3.557631362,0,0
0,0,0.873774608,2.38857368,4.291964248,1.91404317,0,0.873774608
0,0,0,0.867762224,0,0,0,0
0,0,9.128867033,1.94459767,22.36348675,4.841007011,0,9.128867033
0,0,0,9.598013194,5.160885657,0.788131173,0,0
0,3.034392173,9.706790358,73.94117553,0,5.345977916,0,12.74118253
0,0,0,23.30524934,7.268447209,13.40793055,0,0
0,0,0,86.60144986,0,1.44565532,0,0
0,0,0.802829589,8.651406521,2.126938877,0.25299585,0,0.802829589
0,0,0,2.27582239,9.621677923,0,0,0
4.258126507,0,0,12.35886307,0,0,0,4.258126507
0,0.9973093,0.876594235,8.804244762,0.785000085,1.196217855,0,1.873903535
9.344359029,0.314841625,6.238658582,8.221272192,0,0.390544713,0,15.89785924
0,0,0,25.05635876,21.95710823,7.422574594,0,0
0,0,0,9.718197404,0.382754197,1.542019138,0,0
0,0,0,23.19498133,2.52479826,0,0,0
0,0,0,0.670390345,0,0,0,0
0,0,0,5.700484046,0,0,0,0
0,0,0,15.70902167,0,0,0,0
0,0,0,2.95699763,0,4.856525034,0,0
0,0,0,482.6874321,0,3.518153549,0,0
11.1628843,14.83565977,0,29.7891346,11.79765171,9.531498416,0,25.99854407
4.807238188,1.699528964,0,4.710574761,9.394761509,3.022561237,0,6.506767152
0,0,0,2.533237201,0,0,0,0
0,0,0,19.03181134,29.48829145,0,0,0
0,0,1.461042769,1.527866648,2.155233891,0.492581952,0,1.461042769
3.131266892,0,0,9.15379208,1.172636318,1.968848586,0,3.131266892
0,0,0,73.52782428,0,6.643882815,0,0
0,0,24.59740027,37.04813903,0,3.277222043,0,24.59740027
0,0,0,59.45701335,0,0,0,0
0,0,0,0.994881861,0,0.065984452,0,0
0,0,0,29.62912589,9.579319584,4.695063725,0,0
0,0,0.243279605,86.7250632,0,0,0,0.243279605
0,2.629198173,0.412248302,7.384870559,2.026513371,2.744796658,0,3.041446475
0,0,0,40.02325167,0,1.43193333,0,0
0,0,0,21.71113304,2.696434915,1.024646843,0,0
0,0,15.02520449,10.64302601,0,0.754010309,0,15.02520449
0,0,0,50.06197675,0,0,0,0
0,2.484425402,0,4.630602797,0,1.47038777,0,2.484425402
0,0,0,7.618940344,2.697289182,2.295777546,0,0
4.273956521,2.901730497,0,11.77801528,0,6.889877215,0,7.175687018
0,11.03031904,3.49961056,33.60888228,20.52180631,13.99198439,0,14.5299296
0,0,25.76637186,49.69527675,0,0,0,25.76637186
0,0,0,40.38151678,0.940472771,1.081925228,0,0
0,0,0,9.008680003,0.764873875,9.269946796,0,0
0,0,0,35.10515153,0,16.9471631,0,0
0,0,0,40.11173006,0,3.683944316,0,0
6.162960733,0.462283038,1.147141453,9.293302612,7.521680679,3.333195577,0,7.772385224
0,0,0,13.13434389,0,0,0,0
0,0,0,28.28084457,2.592609433,4.006082687,0,0
0,0,0.115408194,1.519667138,0.906090038,0,0,0.115408194
0,0.993656057,3.687020006,12573.01434,0,0,0,4.680676063
0,0,0.551272283,3.354955099,0.405600481,2.901297253,0,0.551272283
0,0,0,40.96361318,9.795046975,5.627212576,0,0
0,0,3.815583989,1.705315624,16.17161196,0,0,3.815583989
0,0,0,35.36429249,0,0,0,0
0,0,1.709207018,33.34448436,1.077534151,0,0,1.709207018
0,0.212191993,0,3.381773249,0,0.552200818,0,0.212191993
0,0.244414174,0,6.107152747,0,0,0,0.244414174
0,0,0.472010124,15.34088628,3.823179418,0.564569966,0,0.472010124
0,0,0,11.40489817,1.197055156,0,0,0
0,0,0,17.19849231,0,1.298869352,0,0
0,0,0,254.1467445,7.172001597,9.364783963,0,0
0,1.591863896,0,2.371660306,5.345232418,0,0,1.591863896
0,1.580639222,0,1.104599138,0.822592338,1.728815452,0,1.580639222
0,0,1.490800041,3.297859091,2.360675586,1.607634285,0,1.490800041
0,0,0,1.459022383,1.839812246,1.500684933,0,0
0,1.769500137,2.135653679,68.88684015,0,7.502682873,0,3.905153816
0,0,1.735135404,34.45243045,0,1.059938969,0,1.735135404
0,0,0.14049969,9.653233353,0,0,0,0.14049969
0,0,0,5.510742833,4.096475629,1.072582664,0,0
0,0,0,2.485565514,2.58410162,3.982589223,0,0
0,0,0,28.28174933,7.289787133,0,0,0
3.895464077,0,0,4.127434794,1.450107265,0,0,3.895464077
40.2557634,0,0,17.23932103,3.618253357,1.419964575,0,40.2557634
0,0,0,2.911517032,3.023910077,2.224800928,0,0
0,0,0,0.683826586,1.06046692,26.60103934,0,0
0,0,0,5.154199272,0,0,0,0
0,0,0,55.47417462,0,0,0,0
0,0,0,275.230456,11.13708345,7.116781491,0,0
0,0,0,26.24744041,0,0,0,0
0,0,0,25.81829922,32.11592216,4.093898306,0,0
0,0,0,90.13019006,0,0.089694501,0,0
0,0,0,56.14688889,1.957740184,4.907697558,0,0
0,0,2.422628336,2.530272487,1.192055021,1.293740431,0,2.422628336
0,0,0,26.97185442,0,2.678544921,0,0
0,13.21112392,4.494654544,7.049077271,0,0.470990014,0,17.70577846
29.11615229,0,0,2.13972374,0,0,0,29.11615229
0,0,0,60.12636601,0.829116694,0,0,0
0,0,0,12.57177354,10.0791128,0,0,0
21.13141922,49.91481956,0,158.3656203,9.013498493,0,0,71.04623878
7.649525339,43.16029572,1.315192923,54.40816432,15.04325976,0,0,52.12501398
0,0,0,48.38353244,2.155831103,0.534753785,0,0
0,0,0,7.786589351,20.60184593,3.948263888,0,0
0,0,1.261172167,5.830162861,0.858728904,0.502415427,0,1.261172167
0,0,0,10.45858869,3.316810448,3.14927693,0,0
0,0,0,6.452827449,0,1.867077224,0,0
0,0,0,35.52696303,0,0,0,0
0,6.460071341,0,109.1688494,0,4.833057265,0,6.460071341
0,0,0,6.256267601,0,0.408429626,0,0
0,0,0,19.88667192,3.02340115,4.260416936,0,0
0,1.324387097,0,4.511134821,1.122270425,0.785404912,0,1.324387097
0,0.460782069,4.623614141,11.06857168,8.403018194,1.046246085,0,5.08439621
0,2.741384684,0,6.610105604,3.882887132,0,0,2.741384684
0,0,0,227.6960756,14.37391229,0,0,0
0,0,23.32918926,53.18835962,0,2.933978881,0,23.32918926
0,3.805221831,25.55475316,20.45735399,36.43563131,0,0,29.35997499
0,17.4226583,0,3.952380749,15.4601251,7.044762665,0,17.4226583
0,0,0,4.874521459,4.173269925,0.247264911,0,0
0,0,0,25.85039301,10.9172712,0,0,0
0,0,0,2842.034139,0,0,0,0
0,0,0,18.19987984,29.69552214,0,0,0
0,0,0,4.854796814,5.064373031,0,0,0
0,0,0,42.61645096,0,1.39722404,0,0
0,0,0,17.99035105,0,0,0,0
0,0,0,28.97475872,0,0,0,0
0,0,0,13.95753513,0,4.768709318,0,0
0,0,0,32.9691291,0,0,0,0
0,0,0,48.01249201,3.175334406,1.414460853,0,0
0,0,0,3.823434854,11.1445881,1.332434127,0,0
0,0,0,173.8816511,1.623383991,1.319613948,0,0
0,0,0,47.08717275,13.17489508,15.38945048,0,0
0,0,0,43.69878762,0,0,0,0
0,0,0,42.81336346,0,0,0,0
0,0,0,2.503125663,8.937251159,0,0,0
0,0,0,56.7084167,9.883352181,6.416728516,0,0
0,0,0,10.77365559,0,7.822619106,0,0
0,0,0,1.315300354,0.148626656,20.9924,0,0
0,0,0,7.602726391,0.997536172,3.352249322,0,0
0,0,0,209.8891533,0,9.888564735,0,0
0,0,0,1.017563336,0.136438907,23.19648594,0,0
0,0,2.314696569,7.475792208,2.635165237,4.771815665,0,2.314696569
0,0,0,110.8307314,0,1.963062601,0,0
0,14.91326813,0,8.828661465,20.48277385,8.228834768,0,14.91326813
0,0,0,23.70347144,0,13.69107453,0,0
0,0,0,12.30179852,1.978427367,5.515126581,0,0
0,0,0,109.3811252,0,0,0,0
2.10309462,0,0,5.220606393,6.247772789,4.7049216,0,2.10309462
0,0,0,1.032756504,13.69346629,9.216905384,0,0
0,0,0,5.923026882,0,0.622436112,0,0
0,0,0,9.716416434,2.843535319,0.28767565,0,0
0,0,0,2.063672329,18.24225913,0,0,0
0,0,0,6.532786058,2.802297923,0.440286923,0,0
2.360513176,17.74385669,7.420107877,27.29009203,9.349341112,16.06288441,0,27.52447774
0,6.047297391,22.55634306,60.01172985,13.28133953,0,0,28.60364045
0,0,3.396893763,35.16884043,0.46996394,0.261719286,0,3.396893763
0,0,0,89.83587841,0,0,0,0
0,0,0,1.177747699,0,0.055015567,0,0
0,0,0,32.92467308,9.91326734,0,0,0
0,0,0,22.58289627,13.74769394,0,0,0
0,0,0,53.33084357,1.99983512,4.835864415,0,0
0,0,0,2.660906102,10.42750372,8.302171116,0,0
0,0,0,24.49148161,4.821752426,10.87219299,0,0
0,0,0,19.86425674,3.44932285,2.049020806,0,0
1.275308021,0,1.058660871,13.31505625,1.378243454,0.270546398,0,2.333968892
19.93280722,8.183830923,0,13.63680183,3.093295123,1.91181256,0,28.11663814
0,0,0,27.96909068,2.488228283,0,0,0
0,0,0,11.00398416,4.534921696,0,0,0
19.92494984,0.34375777,6.285039566,6.415811122,0,0,0,26.55374718
0,0,0,26.4709806,0,0,0,0
0,0,0,16.31800686,0,0,0,0
0,0,0,13.20019926,5.332353493,3.616055388,0,0
0,0,0,30.92561119,0,1.40118357,0,0
0,0,0,11.94197063,17.03227686,2.042573325,0,0
0,0,21.3202984,13.99714471,0,0,0,21.3202984
0,0,0,17.58226096,26.16497361,8.033337548,0,0
8.08004909,14.91955646,0,11.8970625,9.952638082,11.27176125,0,22.99960555
0,0,0,54.83579744,2.090438339,4.770892299,0,0
0,0,0,0.939861758,5.031038984,8.859719193,0,0
0,0,0,221.4525961,0,1.725134057,0,0
0,0,0.735105984,26.78597136,0,1.665947979,0,0.735105984
0,0,0,5.825015432,0,14.4539678,0,0
0,0,0,14.38640611,2.378158437,0.509872298,0,0
0,0,0,4.423357645,6.169677333,1.256785853,0,0
0,0,0,20.05093526,0,0,0,0
0,0,0,4.695725038,3.42936493,3.303493341,0,0
0,0,0,24.21955679,2.657914754,3.979343572,0,0
0,0,0,16.10108126,0,0,0,0
1.342195762,0,1.041842262,17.42335771,1.563474392,0.286872339,0,2.384038024
0,0,0,42.37692029,0,0,0,0
0,0,0,185.1894426,6.08301013,1.623493086,0,0
0,0,0,11.72247188,21.17131359,0,0,0
0,0,0,0.73927129,0,1.511933182,0,0
0,3.970114915,0,0.853492802,8.76612446,0,0,3.970114915
0,0,0,28.93481836,9.46333631,0,0,0
0,0,0,3.139862796,13.99895069,1.197614358,0,0
0,0,0,21.65169593,3.058769129,16.37602431,0,0
0,0,0,88.79710443,0,0.453344281,0,0
0,52.02231997,0.302997187,30.76800057,10.74130335,0,0,52.32531716
0,0,0,8.53756009,5.192068566,0,0,0
0,0,0.573078189,14.53310417,5.569904269,1.035357561,0,0.573078189
0,0,0,23.41890494,0,0,0,0
0,17.87536513,0,13.21795636,5.19198275,1.76731683,0,17.87536513
0,0,0,32.72221231,0,2.346318324,0,0
0,18.8588244,0,17.59866581,19.65797488,1.390942981,0,18.8588244
0,0,0,25.15723187,12.66095668,6.795538413,0,0
33.11667844,40.64021154,0,240.9222143,9.273625721,0,0,73.75688998
0,0.937091919,0.174882774,1.310723462,3.556250541,7.153626823,0,1.111974693
0,0,3.425247869,1.962640535,0,13.32323798,0,3.425247869
0,0,0,100.1831807,0,0,0,0
0,0,0,6.215327529,0,5.31638406,0,0
88.51368391,9.215803066,0,100.6228357,10.06652793,0,0,97.72948698
0,0,0,9.532624646,0.204215711,0,0,0
0,0,0,8.176031239,0,3.149856595,0,0
0,0,22.9058719,19.13682862,0,2.487823979,0,22.9058719
0,0,0,13.20784173,0,0,0,0
0,0,10.26428526,36.1141063,0.320994593,5.302725799,0,10.26428526
0,0,0,2.424206769,3.858334963,2.344978649,0,0
0,0,0,42.40194776,0,0,0,0
0,0,0,13.74322836,0,6.343000451,0,0
0,0.183956983,0,2.614109218,0,0.628729532,0,0.183956983
0,0,0,5.335257353,0,0.413872557,0,0
0,0,0,2.258345719,2.579278313,0,0,0
0,1.996154396,0,23.07689577,1.555389312,1.714079687,0,1.996154396
0,0,9.089462019,3.09954261,3.296962798,0,0,9.089462019
0,0.548042471,0,124.7487169,0,1.235779641,0,0.548042471
0,11.23912482,3.485114605,26.53696494,25.70329491,16.06401626,0,14.72423943
0,0,15.9218706,58.40548711,22.79158253,0.519261903,0,15.9218706
0,0,0,27.51647201,2.194167173,0.510165897,0,0
0,0,0,86.15250008,0,0.679313049,0,0
0,0,4.294918823,43.34946291,0,0,0,4.294918823
0,0,0,15.37753321,10.32567785,0,0,0
0,0,0,21.20278742,14.67258985,0,0,0
0,1.682485922,0,24.35463443,1.794441133,1.043767696,0,1.682485922
0,10.32254919,20.20918462,31.07683513,14.93203468,8.986492466,0,30.53173381
0,0,0,20.79579365,0,2.806876174,0,0
0,0,0,5.917467237,5.519478848,0,0,0
0,38.69189156,3.471455615,211.0764664,16.76951798,0,0,42.16334718
0,0,0,72.53409829,0,0,0,0
0,14.59244919,14.64573698,6.296854909,0,0,0,29.23818617
0,0,10.41441517,66.03405706,0,0,0,10.41441517
0,0,0,5.944251753,0,5.363193649,0,0
0,0,0,248.8745804,10.25157711,2.933985125,0,0
0,0,0,42.72271554,5.508084815,8.065959415,0,0
0,0,14.75398318,31.24510806,0,0.65663209,0,14.75398318
0,0,0,48.93430778,6.502175582,0,0,0
0,0,0,21.84844368,0,0,0,0
