num,x,y,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,onaji1,onaji2,onaji3,onaji4,onaji5,onaji6,onaji7,onaji8,onaji9
1,22.0,2.0,0.0,0.0,0.0,0.0,10.004649213982875,17.851302590463085,0.0,0.0,0.15982013326185826,0.0,14.550840337032847,0.0,18.858924392960233,3.901049323401599,0.0,12.281952978154132,15.03723625576028,6.91644884593582
2,65.0,17.0,0.0,0.0,10.356660868015748,0.0,1.1185675592685973,1.8380319383016719,0.0,0.6297041122982006,0.8879162138396066,0.0,0.0,24.560882147468035,0.0,0.0,21.92921741621069,0.0,1.8669960323768793,10.568725851603318
3,7.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.22895094167208,10.541062152662107,6.588240630988893,11.289931576133318,9.094200517208611,10.802828446484066,14.80524736471507,8.928834200225964
4,27.0,42.0,0.0,0.0,6.282609864203822,0.0,0.0,5.31644659812939,0.08011489770147272,4.484461496812679,1.7795411077573735,0.0,23.872393831676543,0.0,8.32455673476819,24.616985791343453,12.214915976922956,13.105862484969382,10.479656601297886,6.625681430626218
5,57.0,25.0,0.0,0.0,0.0,0.2958710443053608,2.7613273363537703,4.813733462121807,0.8988094219025949,0.20730435813435444,0.0,0.0,0.0,0.0,6.151066568898297,4.696847069301087,15.412810732456256,7.63219808118072,5.814325222923696,5.081959841839488
6,97.0,7.0,0.0,0.0,0.0,3.6619600608195864,0.33592188914287535,0.08784398463026165,0.0,3.8322500725460125,2.197062643440373,0.0,0.0,4.727860996895344,16.101857108227378,3.670333769030391,12.097476456817503,3.9021595466126446,21.161125054734626,11.97423170359717
7,99.0,14.0,24.54325237312071,0.0,0.0,0.0,4.108344444564003,0.0,2.5844926748778407,0.0,0.0,0.0,0.0,36.173707728524555,3.95289959578492,11.874738101700265,9.990185126053598,4.282372937854512,11.056903702064153,3.3258069707478928
8,13.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0773651171763085,0.7289317245977984,1.1132300055940283,0.0,34.06213456880648,27.175931898918208,6.625053600910049,13.611866689627911,9.627814897352664,11.382241275227674,7.4888915077211795,14.96969778407965,6.080362779557049
9,53.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5370797926559576,1.066719161769031,2.7457358957370883,0.0,15.355290240348648,10.129405735397485,3.5792192023677227,8.958526149973775,22.391259909247648,5.447530360859942,6.302222116817207,1.8071922145317927
10,5.0,2.0,0.0,0.0,0.0,3.196570909352128,2.413880215577071,0.0,0.0,0.0,0.0,0.0,24.530437102921656,0.0,6.921512287027118,10.913766880573554,0.0,6.324864777999158,14.723273847318998,7.061007913399997
