
,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),0.309034184108526,0.0182941900356657,16.89247698346,6.16625689581424e-50,-625.24200747967,461
dbh01,-0.00438214172220899,0.000729144060721552,-6.00998068594631,3.83623377310526e-09,,
crd1,-0.000829267599506874,0.000351323049665607,-2.36041330136517,0.0186803016798488,,
crd2,-0.000899793474753854,0.000607232245772285,-1.48179461979903,0.139094839524234,,
crd3,-0.000914029889385603,0.000641702375648275,-1.42438289785387,0.155028747871196,,
crd4,-0.00122019420657149,0.000763517538337653,-1.59812204082191,0.110717712666934,,
crd5,-0.00100024894215878,0.000862124556660422,-1.16021395566483,0.246576871209749,,
crd6,-0.0011106158762222,0.000911506621547951,-1.21843972382353,0.223695315774001,,
crd7,-0.00158407948559223,0.000915267462979822,-1.73072850250239,0.0841857011639507,,
crd8,-0.00442175013027296,0.00111318737913837,-3.9721525891674,8.29201256220044e-05,,
crd9,-0.00280841349028121,0.00111175214920797,-2.5261147390468,0.0118752105687295,,

,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),0.295570833603768,0.0163829674247812,18.0413490389221,3.35826308671308e-55,-626.461821749468,461
dbh01,-0.00453218964017752,0.000723930872251616,-6.2605281994415,8.9287611790582e-10,,
crd1,-0.000830697366913219,0.000351362690113201,-2.36421620817392,0.0184901436440655,,
crd2,-0.00095813955769717,0.00060589929012453,-1.58135118049114,0.114497227313348,,
crd3,-0.0011094051757985,0.000631051367848798,-1.75802673493978,0.0794197641892269,,
crd4,-0.00122566941579884,0.000763804862066978,-1.60468920357745,0.109260656005156,,
crd7,-0.00152267170904471,0.000914633872541154,-1.66478823358491,0.0966479854034255,,
crd8,-0.00452873354344181,0.00111218319895527,-4.07193126788455,5.50485665184994e-05,,
crd9,-0.00286864557205062,0.0011095879274156,-2.58532514744652,0.0100408061823754,,

,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),0.292957365843094,0.0165724016898194,17.6774236665444,1.08204028915817e-53,-629.555900226839,461
dbh01,-0.00520730563931764,0.00066183806520935,-7.8679452165848,2.6201667854891e-14,,
crd,-0.00129136241984925,0.000199736458236233,-6.46533152361163,2.59439239371603e-10,,

,Estimate,Std. Error,t value,Pr(>|t|),aic,N
(Intercept),0.292957365843094,0.0165724016898194,17.6774236665444,1.08204028915817e-53,-629.555900226839,461
dbh01,-0.00520730563931764,0.00066183806520935,-7.8679452165848,2.6201667854891e-14,,
crd,-0.00129136241984925,0.000199736458236233,-6.46533152361163,2.59439239371603e-10,,
