
,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),2.19744348170146,0.396728238696249,5.53891371313225,3.04353543059867e-08,370.901578252681,577
dbh01,-0.0760366255085113,0.0318973819068356,-2.3837889181813,0.0171354278414384,,
crd1,0.00557979185044266,0.00870462962112398,0.641014275541591,0.521513408066526,,
crd2,-0.0094164975502917,0.0139646932626791,-0.674307510603007,0.500115830064645,,
crd3,-0.0206279343216319,0.0154217586871991,-1.33758637649765,0.181031307887226,,
crd4,0.0426462466415198,0.023725129885508,1.79751372689299,0.0722541009051057,,
crd5,0.0314299285367999,0.0278906366367764,1.12689892834345,0.25978521652238,,
crd6,-0.0252836233909277,0.0280443671128191,-0.901557995201486,0.367291712965536,,
crd7,-0.0154547063218364,0.0277685983595309,-0.55655334567983,0.577832637178404,,
crd8,0.118304699747667,0.0388046676399499,3.04872343825646,0.00229815941278766,,
crd9,-0.0542206297981895,0.0315111652934012,-1.72067993339313,0.0853089196507392,,
kabudachi,0.00055653684928013,0.000567455930388701,0.980757834179138,0.326712176232309,,

,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),1.96277439882099,0.346920179530231,5.6577118156655,1.53404434447171e-08,364.131872507543,577
dbh01,-0.0683502892749921,0.0313119633434826,-2.18288098147058,0.0290445759495992,,
crd4,0.0421724590954171,0.0218871348909823,1.92681496712448,0.0540026935428735,,
crd8,0.105736845283934,0.0352819709224557,2.99690869073973,0.00272732389586032,,
crd9,-0.052886410842046,0.0282739319507408,-1.87050074726732,0.0614143133268146,,
kabudachi,0.000660442277662038,0.000544388227653416,1.21318251224659,0.225060048656538,,

,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),2.14730063943828,0.324013298324022,6.62719910122615,3.42116056455136e-11,375.043481692212,577
dbh01,-0.0712816117936019,0.0296598611120885,-2.40330227859866,0.0162477507268475,,
crd,0.00561638043435567,0.00421453834200751,1.33262055736345,0.182656355447557,,
kabudachi,0.000432157212080143,0.000428712192592496,1.00803573947084,0.313437305093346,,

,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),2.14730063943828,0.324013298324022,6.62719910122615,3.42116056455136e-11,375.043481692212,577
dbh01,-0.0712816117936019,0.0296598611120885,-2.40330227859866,0.0162477507268475,,
crd,0.00561638043435567,0.00421453834200751,1.33262055736345,0.182656355447557,,
kabudachi,0.000432157212080143,0.000428712192592496,1.00803573947084,0.313437305093346,,
