num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,kabudachi,growth
3,7.757355185,0.351795994,bp,1.89,2.355493158,3.8,0.0,0.0,0.0,13.557575623536001,19.222223048929575,0.0,15.675983226857046,11.892188357904681,6.143220913368108,0.0,0.15516438599999996
4,9.627327531,3.056552398,bp,1.24,1.718873385,3.1,55.571211428638414,0.0,8.358418487285746,0.6773759427762398,8.532174448087833,14.406845178948137,22.174422490772216,18.944420077245653,14.777772021595313,0.0,0.15962446166666666
8,3.826887738,6.304417469,bp,3.38,4.169859509,4.3,41.15677216529299,0.0,18.580959524624845,3.388343231496346,10.028274085651733,9.038295394021821,11.557961543626813,10.526140803885278,4.771806355164507,0.0,0.26328650300000006
9,3.553023623,6.203156162,bp,2.41,2.737465021,2.8,48.09639321133746,0.0,13.628185822677796,9.421993452537022,7.271158883679961,6.945376974227816,13.563259539662472,11.307467557681022,6.347735340865921,0.0,0.10915500700000003
20,15.93481913,9.304270772,bp,22.18619907,22.95014279,17.3,0.0,0.0,0.0,15.419573292205147,14.249930074377287,13.01676295881671,15.247616449880212,13.639135758300862,7.128044587929961,0.0,0.25464790666666676
50,12.15980333,10.70112985,bp,9.549296586,8.307888029,5.8,0.0,0.0,12.363986176657143,13.056360822879768,20.66554057437446,6.629650700904757,0.0,12.444321345829799,21.389605819364675,0.0,-0.41380285233333325
58,16.76393552,18.10400307,bp,4.265352475,4.806479281,5.8,31.992823964814566,9.076819089118603,0.0,14.614399566714889,5.18865828614247,6.529345344463228,17.141291971095704,5.054256537381124,12.079612373179227,121.95315983757017,0.1803756019999998
59,17.15797834,18.36850519,bp,2.1,2.260000192,1.3,0.0,30.03476972514666,0.0,8.180807706297578,11.308746698955076,3.7302341109219226,18.224182244701304,9.650863343452276,3.618301546845531,48.63891494837656,0.053333397333333345
60,16.70193839,18.00222807,bp,11.80929678,11.96845172,8.9,35.12620670655466,8.59179621705426,0.0,7.988567410954071,11.809648600464842,6.534372402997738,17.116702034448576,5.080310866454021,12.080682502147969,54.11913003787312,0.05305164666666625
61,16.75687558,18.50124819,bp,4.074366543,4.360845441,4.8,27.16402533729001,11.76286471142463,0.0,15.34044965509732,4.789753791223378,3.497286987485845,18.555957906801865,10.156466009564365,5.509474875780755,79.42641637055641,0.09549296600000012
62,16.82220318,18.57134064,bp,3.851549623,4.583662361,5.9,24.492078839179754,12.329419736427651,0.0,15.378298881464591,0.0,11.086149187392634,15.765855786220536,10.1105090516138,5.655042906981209,77.23502749436278,0.24403757933333337
65,12.43323761,18.22938045,bp,6.079718826,6.429859701,5.1,0.0,0.0,15.126911789697946,21.317605084058677,14.707211325193821,10.529508578193177,3.0646314606417993,11.085412130148166,4.276831416683197,0.0,0.11671362500000004
68,0.173054468,11.40941554,bp,0.36,0.56,1.5,0.0,0.0,0.0,29.763588975124573,20.25514944449532,13.197109238087746,11.511118956719686,4.688408067081454,0.0,13.837199622677444,0.0666666666666667
69,0.169432777,11.51052724,bp,0.49,0.76,1.9,0.0,0.0,0.0,29.31740260477399,20.41987455338511,13.36622216324843,8.911393697427275,7.105798262957021,0.0,94.55813704583134,0.09000000000000001
70,0.169432777,11.51052724,bp,0.91,0.86,0.0,0.0,0.0,0.0,29.31740260477399,20.41987455338511,13.36622216324843,8.911393697427275,7.105798262957021,0.0,52.558137045831344,-0.01666666666666668
72,8.033570294,12.34918035,bp,5.952394872,5.98422586,8.2,0.0,0.0,8.31863567558865,22.627817286197285,18.41890771482716,2.9595243138987755,8.741906597293262,11.881947188751244,8.95896978385435,0.0,0.010610329333333132
73,9.768476375,10.64882148,bp,5.793239929,6.875493542,6.2,1.8574672530357297,0.0,16.810887530950218,6.759497039021265,14.057156428044141,5.997197600511389,16.922076517284893,11.53759112538858,5.386125288907421,34.57587578021695,0.36075120433333324
74,9.823547601,10.72139624,bp,3.15,3.724225668,4.5,1.552791827928816,0.0,16.67442985025653,6.9346578029916035,8.978272149877792,11.254291378604469,16.94073203263762,12.24355770567494,4.588904785674818,63.58931560320536,0.19140855599999998
75,9.752137296,10.3916863,bp,0.26,0.29,1.4,32.37954736284806,0.0,17.814940924913216,6.327695731295523,8.321032536221718,11.047620088264933,17.009116053399964,14.746098492269981,2.3030993233242154,0.0,0.00999999999999999
79,1.876620648,16.58792797,bp,15.08788861,14.92873366,11.6,13.780684091928578,0.0,9.937361653861192,0.0,6.959691708889246,16.371962538627002,10.030974505950537,10.89404906998367,16.560718345207302,0.0,-0.05305164999999986
86,2.061185277,23.70777299,bp,2.98,3.21492985,4.3,28.220638386619036,12.12940056549308,0.0,0.0,14.968452628986467,22.07679404562896,4.514138129826337,16.478748959428376,9.797186021122712,31.768664492091705,0.07830994999999996
87,1.861904153,23.86750491,bp,1.6,1.82,3.8,26.40108446792758,14.161613040594728,0.0,0.0,14.782885314576324,22.518486830447817,4.559786172635054,16.358355638147227,9.884133139234768,26.121645033820382,0.07333333333333332
89,9.453717384,20.52573616,bp,2.96,3.342253805,4.6,0.0,14.906341503566464,12.521631064033055,6.949994148365674,14.451124087487823,11.541832209870496,11.664701866336646,10.051477173974972,10.716721985911729,0.0,0.12741793499999998
97,9.026821127,29.76995026,bp,2.16,2.832957987,3.1,0.0,0.0,3.2022330308908944,11.733601774179116,25.482512713744793,6.077381794342545,9.287182151215566,8.686233116512671,3.3043362649991144,0.0,0.22431932899999993
102,13.28027351,26.25297375,bp,14.13295895,14.13295895,11.7,0.0,0.0,0.0,4.2916856819399385,11.972481885661113,11.242896497355865,18.489491621659354,10.32353865335318,8.862333655897812,7.068277945612744,0.0
104,13.19007931,26.49414861,bp,1.82,2.228169203,1.9,0.0,0.0,0.0,4.448664173344906,6.712921374688101,16.36021636804807,17.856979027206446,12.760884828874822,7.789309489538522,54.887737391502874,0.13605640100000005
108,17.92018926,31.12720986,bp,0.99,0.84,1.5,0.0,12.467004046914957,7.205571624621902,10.544266630663147,4.625262461718663,0.0,16.44156794418515,12.303721805691868,4.975398226433367,0.0,-0.05000000000000001
