num,x,y,spp,dbh01,recruit,ds,ss,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ds8,ds9,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9
5,4.442832544,8.562818777,bp,1.69,1,20.15431699403435,318.7689659736012,0.0,8.803437060042892,0.0,6.2957704309593945,0.0,0.0,4.406876385490126,0.0,0.6482331175419382,318.7689659736012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.307478628,9.057609198,bp,1.83,1,20.84187258431484,351.3220878461959,0.0,9.639978377060833,0.0,0.0,6.029350557123149,0.0,2.029103050801764,2.4483358375067437,0.6951047618223499,347.33877616909547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9833116771004473
12,4.357567182,8.892998692,bp,0.76,1,20.378218321571975,262.237799168092,0.0,9.442677333447945,0.0,5.758924136379152,0.0,0.0,2.0074792253225207,2.49062418861738,0.6785134378049765,260.3613993992382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8763997688538054
13,4.905947437,8.729910048,bp,0.54,1,18.18750137062884,234.5244702696331,0.0,6.776627375321222,0.0,6.110358422916982,0.0,0.0,4.436445765571622,0.0,0.8640698068190135,232.71732306888595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8071472007471625
14,4.905947437,8.729910048,bp,0.81,1,18.18750137062884,234.5244702696331,0.0,6.776627375321222,0.0,6.110358422916982,0.0,0.0,4.436445765571622,0.0,0.8640698068190135,232.71732306888595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8071472007471625
15,4.913632476,8.918859208,bp,0.39,1,17.86112090295775,148.22352408932034,0.0,6.741169009535261,0.0,5.819058883524319,0.0,0.0,4.4232968834898765,0.0,0.8775961264082943,143.69909065320923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.524433436111101
24,6.597033223,17.7890832,bp,1.76,1,9.503611496351784,290.3951555489746,0.0,0.0,0.0,0.0,0.7636577799374141,1.4733806885393859,1.6594821633211672,3.9098233850962583,1.6972674794575588,275.5743875096595,0.0,0.0,0.0,2.5011251061922417,10.431663468472092,0.0,0.0,1.8879794646507533
25,6.590440656,17.62216538,bp,1.98,1,7.869739716193486,314.0253574056471,0.0,0.0,0.0,0.0,0.7694853768129569,0.0,3.1740436224985467,2.5764971062750455,1.349713610606937,298.12411406993704,0.0,0.0,0.0,1.2610392730143392,11.296117224294969,0.0,0.0,3.344086838400791
30,8.302944683,22.16275509,bp,1.82,1,18.347462558732154,326.0349241547072,0.0,5.317623314791288,1.1183080440662936,6.477207300865688,2.363912417209633,0.16357508547175587,0.0,0.08990256232125261,2.8169338340062424,313.9672728747083,4.359270657491921,0.0,0.0,5.532641302562013,2.175739319944907,0.0,0.0,0.0
35,8.946126596,22.23051988,bp,0.62,1,17.11439137785598,232.42701204435343,0.0,4.488894602984708,4.295863011530667,3.517706721377971,0.0,2.4033849919868904,0.0,0.08241519462381316,2.326126855351932,225.16466330918672,0.0,0.0,0.0,2.3967489651733103,4.8655997699933895,0.0,0.0,0.0
