
,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),-2.29149401550838,0.1158895494134,-19.7730859003877,5.07732959934989e-87,634.742451229044,1092
crd1,-0.0202639040485632,0.0311650903814094,-0.650211624627631,0.515555533203421,,
crd2,-0.0200848692562061,0.0252625923073717,-0.795043874034466,0.426587981158244,,
crd3,-0.0505015200127681,0.0368506011251728,-1.37043951715269,0.170549743539812,,

,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),-2.3300238852696,0.11304099305245,-20.6122029040252,2.1330008270772e-94,632.558422641673,1092
crd3,-0.0522572538307849,0.0372432786376707,-1.4031324776527,0.160577337976396,,

,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),-2.30063486200225,0.115827945524099,-19.8625198054953,8.58912550607234e-88,631.314477298479,1092
crd,-0.0280823030679732,0.0169394877620259,-1.65780119579098,0.0973575998924865,,

,Estimate,Std. Error,z value,Pr(>|z|),aic,N
(Intercept),-2.30063486200225,0.115827945524099,-19.8625198054953,8.58912550607234e-88,631.314477298479,1092
crd,-0.0280823030679732,0.0169394877620259,-1.65780119579098,0.0973575998924865,,
