num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,crd,kabudachi,death
1,3.274086193,1.380907264,lc,27.78845306,28.26591789,18.8,0.0,12.481499879026673,0.0,11.534383875648935,17.301424002838043,0.0,4.797533098262314,16.555457235515643,6.52476610961794,69.19506420090954,0.0,1
2,4.322592118,0.772253938,lc,13.1461983,13.30535324,9.8,0.0,34.02053288289713,0.0,0.9568182277771157,17.051652262862547,10.341247260252521,0.0,16.041667226680016,5.456198796006088,83.86811665647542,0.0,1
5,9.585109657,3.238448931,lc,10.37690229,10.59971921,8.7,6.640546498921657,0.0,8.092331822196376,0.6220029780380246,8.169699418532254,22.35467208063268,13.50877769112727,20.577471798197536,17.63600950346826,97.60151179111405,0.0,1
7,3.498593412,5.538078425,lc,18.4619734,19.03493119,16.0,16.581780672095096,0.0,7.950001547397302,13.690422550596075,11.968116483872542,3.4271824686001007,12.03487874393168,10.52355601647139,15.415903337001218,91.5918418199654,0.0,1
10,1.072319845,3.79193024,lc,12.47774754,12.60507149,10.5,10.545788392548344,0.0,9.629767114395277,20.298456748056964,18.92428287366574,6.795337093833024,0.0,6.052228701268711,3.958880890703225,76.20474181447129,0.0,1
11,1.385664461,4.563821747,lc,8.785352859,9.071831756,8.0,14.978076269034313,0.0,14.467395893525147,15.250067748744376,16.804866274710577,7.116191744886477,0.12684655426700656,6.065201242202772,12.282340158843427,87.0909858862141,0.0,1
12,2.326204791,8.477774239,lc,26.86535439,27.91577702,17.4,0.0,12.124410248625084,2.488628480433957,17.1953086080796,15.564800146027132,9.858205421498326,1.3999653318939174,11.246404293287462,12.67319405678908,82.55091658663456,0.0,1
13,3.426798985,9.240296955,lc,16.2338042,15.69267739,14.1,0.0,20.06471028516291,7.685502562000158,20.56550036073571,0.0,13.254453599168317,2.149904493140186,15.403259977075962,10.61275128636741,89.73608256365065,0.0,1
14,11.9113831,2.700695051,lc,19.32141009,19.60788899,17.5,0.0,0.0,24.932515323540166,0.0,11.118573848311383,30.694846851767036,0.0,7.420804252701812,14.450082112619969,88.61682238894036,0.0,1
15,14.00234001,2.013206265,lc,28.32957987,28.48873481,20.8,25.596071058248008,0.0,10.883481875199175,23.36234367608348,27.417798274426193,0.0,0.4872484960380193,12.726393087232706,5.59932804975503,106.07266451698261,0.0,1
16,14.58243302,2.344051507,lc,17.09324089,17.44338176,10.8,42.42179374111847,0.0,17.364644485162806,39.11388655519903,0.0,3.5797305685757412,0.0,17.262873862289347,6.893678276249497,126.63660748859489,0.0,1
18,14.68709705,6.283593104,lc,33.74084794,34.31380573,18.8,0.0,0.0,10.915793664550419,23.469278931740515,19.211856719181817,3.6227850046667607,10.092933667624814,3.818991988674716,8.161917573139824,79.29355754957885,0.0,1
19,10.45464983,8.512082991,lc,23.26845268,22.95014279,18.4,0.0,0.0,7.632197168953473,0.0,8.365861917579032,16.914990289739784,13.25168183209386,21.59268501525644,12.234454264535318,79.9918704881579,0.0,1
51,14.66972592,12.66594103,lc,18.30281846,18.87577625,13.8,0.0,17.50295509118464,0.09221955154255299,15.810411093111124,8.375527998871668,13.734040191507637,7.7902471373008195,5.872204500053914,15.48371414751688,84.66131971108923,0.0,1
52,15.46389952,13.74111102,lc,23.39577663,23.30028367,18.0,0.0,13.692788002459451,0.10034618013574192,0.0,26.260008058657835,8.077682904841621,6.807321360116758,11.868100740822051,8.936452543567755,75.74269979060122,0.0,1
53,11.27459269,13.83818443,lc,23.84141048,24.25521333,18.3,0.0,29.347127110248184,0.09580024971057638,12.398477504900816,6.921850853385433,6.718361293584625,21.574129104295615,7.0672779980866895,10.819710501192457,94.9427346154044,0.0,1
54,10.26009449,14.80617946,lc,24.12788937,25.08281903,20.8,0.0,29.98360692303524,0.0,5.07737675222545,9.619877678282457,15.95759369050419,15.982747456211126,8.134460557442964,12.135488890492773,96.89115194819419,0.0,1
55,11.32720069,14.99589077,lc,14.06929697,14.38760686,13.2,0.0,42.833946279758266,0.10783879582440101,1.779036598994335,18.46724796866997,11.444748170062564,13.402531041822648,14.746541074504155,3.73482335655334,106.51671328618967,0.0,1
57,16.04112701,18.03279804,lc,23.23662169,23.23662169,18.0,32.54712039256337,10.113098492420601,4.750851164985295,8.718092423981977,8.880127271112661,10.328538690664445,12.906903642054132,7.963918960113255,10.603447640120716,106.81209867801647,0.0,1
63,16.62953596,19.83468015,lc,15.75633937,16.04281826,13.7,0.0,28.55837730545237,14.969104645965032,0.0,4.68981327421561,19.480841136853254,3.771046238036903,12.771748661815153,9.773150383513743,94.01408164585206,0.0,1
64,13.98417103,19.71925206,lc,12.63690248,13.24169127,11.9,0.0,13.725248103190143,25.89128462420113,8.212511782110452,0.690144524026088,8.0541016549573,17.35937924481305,17.540553325901666,5.550022463407052,97.02324572260689,0.0,1
