num,x,y,recruit,ds,ss,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ds8,ds9,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9
751,33.46080734091016,26.779279300532693,0,16.101162065437357,6.325520604627655,0.0,0.0,6.123311071291691,5.21778907770729,0.0,0.0,0.46591765202957264,2.6032745912226596,1.6908696731861435,0.0,0.0,0.0,2.0579582700491548,0.0,0.0,0.0,0.0,4.2675623345785
752,40.55602173521042,40.156061323004494,0,7.126400355361825,11.517540147126796,0.0,0.0,0.36529458982134927,0.0,1.301879840112979,0.4330033738440369,0.3469738428512087,3.8479407213700068,0.831307987362244,0.0,0.0,0.0,0.0,0.0,2.4828031276722324,7.037021084003869,0.0,1.997715935450694
753,13.67349832755861,33.826076451926696,0,11.786936565596132,11.779049813031754,0.0,0.0,0.0,1.3225404357238713,3.3506973575936736,0.4158967534425171,3.557310146075363,0.5648157585234493,2.5756761142372566,0.0,0.0,0.0,0.0,0.0,0.0,3.0132816218227916,8.610794598998108,0.15497359221085505
754,36.2935230970795,-4.4011263077495,0,12.900290820642548,28.214748916421755,0.0,0.0,4.839931460821289,2.3547666238479623,1.8400948883318216,2.896295668394805,0.0,0.5676545325194783,0.4015476467271909,0.0,0.0,7.757402996181537,16.298384578746354,0.0,0.0,0.0,0.0,4.158961341493866
755,39.425544434980054,-31.888863847000536,0,21.869752769362968,11.725825138662723,0.0,0.0,0.0,0.0,0.0,12.505663992779906,3.753318404909307,1.0268841958261201,4.583886175847635,0.0,0.0,0.0,0.0,0.0,0.0,9.20292642219432,2.5228987164684025,0.0
756,1.6704728792454824,36.67424748754232,0,36.5499379704636,0.5413638801845669,0.0,3.81899298744097,2.88082598225672,10.235481909513444,4.654393572786077,0.0,7.139073680494333,3.7761233396143834,4.045046498357672,0.0,0.0,0.0,0.0,0.0,0.0,0.5413638801845669,0.0,0.0
757,7.083290066522069,-33.259882383241504,0,72.38977799110162,0.0,0.0,33.89777508116268,0.0,3.3140812833424493,0.0,7.219830014993885,20.843954859150454,0.0,7.1141367524521515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,6.5754846805793665,-35.35611439491227,0,66.39867724226727,0.0,0.0,19.055095803358707,5.530121689307312,5.537495656621408,4.913159216028574,3.7147335172391482,6.090154207494872,7.544891786785294,14.013025365431961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,20.431771035307953,-41.3836883102187,0,29.10832887066942,0.0,0.0,0.0,0.0,7.47607365787099,0.0,4.4423241041401385,3.4157128513995048,8.501507940091821,5.272710317166966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,46.11579587551239,-29.013710005306926,0,12.755284551284873,54.77704095627078,0.0,0.0,0.3747717980304148,4.495539095548716,0.0,5.761814401206037,0.0,2.004427696566997,0.1187315599327081,0.0,0.0,0.0,0.0,30.90175520874537,23.875285747525407,0.0,0.0,0.0
761,49.377859690401905,-48.42734461314582,0,31.683093616953506,0.8416189231653122,0.0,0.0,0.0,0.0,21.25809440402548,0.0,5.71985792414986,4.478344860287419,0.22679642849074738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8416189231653122
762,21.167589553104364,5.719569401930698,0,18.82113084182276,17.031654831910593,0.0,0.0,4.85893534092562,2.723854495647283,0.15344886849884948,0.1560765728362424,0.9329468228154978,6.6808382747163275,3.3150304663829417,0.0,0.0,0.0,0.0,3.9298970324844054,3.475796450266934,8.821091270399826,0.09265348282965553,0.7122165959297748
763,14.793661162178976,3.095344190969371,0,12.69447164001408,0.0,0.0,0.0,0.0,0.24214913006336505,5.155626084830086,2.3261463012256414,0.9443816894092806,4.026168434485705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,47.825655449247876,-9.763153663015075,0,0.7761983306230467,57.06587345199452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3116866692569362,0.4645116613661105,20.302179715413953,2.6979220178207486,0.0,0.0,13.593293058815112,0.0,11.991469387191799,8.481009272752907,0.0
765,43.08122239341221,-24.354187350556643,0,28.702452629847183,73.19357122055247,0.0,0.0,16.8459769496208,0.48931182215235236,0.1378963587712452,6.3026981607853365,0.0,4.7132616254007464,0.21330771311670346,0.0,51.10606500246967,0.0,0.0,4.402181757115072,3.6976421222067386,0.0,13.987682338760985,0.0
766,17.002368755923236,11.551849878433508,0,11.088389486894897,21.71754035670449,0.0,0.0,0.0,1.2765554715454974,0.7635460357050761,0.024319364757218007,4.8446865828070225,4.179282032080083,0.0,0.0,0.0,3.6663572796251795,1.742106501289509,8.10271622654778,0.9305704763535922,3.3390056654207996,3.9367842074676265,0.0
767,12.63033446732547,0.9575942844136733,0,15.870376260504925,0.0,0.0,0.0,0.0,1.589644135951523,7.914472079320213,3.5663815179714327,0.10352247447776063,0.0,2.696356052783996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,42.988084835112126,27.49909242865759,0,33.53258190260402,38.521966899327566,0.0,7.567913851256195,0.0,5.301403797309855,0.0,11.004521056005977,5.162348964595707,1.45235205162547,3.044042181810815,0.0,6.129067287919584,29.151100725984282,0.0,0.0,0.0,0.0,2.1405493207131348,1.1012495647105602
769,27.837684854522717,-10.863922158251263,0,20.26701123061994,54.42892259449574,0.0,6.922354020175809,0.0,0.0,3.4270124020862167,6.726857168826822,0.28594538642888223,1.4705563561418868,1.434285896960322,0.0,0.0,28.904646922282062,9.438459580830948,0.0,1.0655930729053893,5.647387769525903,5.963803147835994,3.409032101115445
770,7.254449467773682,37.22627507729982,0,33.24433007676982,0.0,0.0,14.490170747438784,0.0,3.38477210210253,5.741557624721814,4.141134650625553,2.4451476997604558,2.848342090639224,0.1932051614814647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,36.03787323375672,-14.631563525522807,0,25.92371893673858,14.896312693500697,2.661629054510236,1.1080788016821947,4.369788330106161,0.0,3.2052209042672315,0.28593065623009734,8.153410894842546,3.059347388091699,3.0803129070084156,0.0,0.0,0.0,0.0,0.0,3.265253407190875,4.146235908578469,3.0094308224713044,4.475392555260046
