num,x,y,recruit,ds,ss,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ds8,ds9,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9
903,29.79820299007975,9.400925250772715,0,57.16639389827864,28.533199069764713,0.0,10.407082058515591,1.9398928187896871,4.1024620782090135,9.325525940177036,7.241179236058087,3.8144305207300775,0.0,20.33582124579915,0.0,0.0,2.03249998241699,7.6241841845483025,3.285723291013193,4.687517871472272,3.815096690646205,2.8943255118320237,4.193851537835728
904,39.958059145984045,-26.62969395052318,0,39.55314207492088,35.563469996561885,0.0,0.0,32.376468381963996,0.0,0.19180297175770933,0.6887257497780475,1.1156478700372836,0.3102103424165543,4.870286758967285,0.0,15.837483960359029,0.0,13.708077256790013,0.0,0.3074268342127118,0.34593303603629516,5.194976234180403,0.16957267498342854
905,31.447774322273997,-39.42248035260933,0,0.0,28.94358468154471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17940671778919,0.0,6.922946945588993,5.0370576417948785,0.0,0.0,4.80417337637165
906,21.09599134111352,-2.1318858088276684,0,17.580416407211988,5.540855135101184,0.0,0.0,0.0,0.0,0.0,2.0181659357907153,5.86709514386791,8.244737748305102,1.4504175792482583,0.0,0.0,0.0,0.0,4.773756715159983,0.0,0.0,0.0,0.7670984199412008
907,26.47432357454595,-35.632564171694995,0,2.256589493363429,28.614015419131235,0.0,0.0,0.0,0.0,0.6784187436294774,0.954551650677779,0.19204760748037644,0.0,0.4315714915757962,0.0,0.0,0.0,7.584926936422704,6.2053112846222795,0.5361725850340584,1.6810180173869758,1.1056426443796792,11.500943951285539
908,8.935309701732919,40.20999212940565,0,0.0,42.445028493800045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.253266730795094,11.426491847461003,3.3050826594645253,2.26802101973992,3.8317281304614306,4.547618156953217,2.992568063988624,6.742652153838141,1.077599731098091
909,4.687887683395344,-19.569262668404576,0,7.229984804289696,42.02112922860401,0.0,0.0,0.0,0.0,1.760892948276013,5.469091856013683,0.0,0.0,0.0,0.8351308543832006,7.099133101104737,7.28697495676584,1.7988043286661681,0.0,6.742676714595471,10.11611111176232,3.022788073994345,5.119510087331935
910,18.347447894022892,5.147037483631223,0,18.699762118408497,5.974442083065873,0.0,0.0,0.0,0.0,2.720050725175025,1.7334595790265643,2.9867591607313058,4.330963937504556,6.928528715971044,0.0,0.444642489260631,0.0,0.0,0.03347744857301235,0.0,3.6101538144097427,0.20570360146298697,1.6804647293595008
911,11.478591132288276,3.690502906389156,0,5.0061219127882985,17.746615827134477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0061219127882985,0.0,0.0,6.234590821462723,0.03514088083598932,0.0,0.11288012805552709,7.666497974263632,2.5889754949794073,1.1085305275371975
912,37.09252587372908,-18.93977117566007,0,19.38998479133048,20.970901862525036,0.0,0.23766169392632042,3.1018792967818425,0.7145840750231871,0.46410076171332976,0.0,1.2435984370451274,2.0209171868495983,11.607243339991074,0.0,0.0,1.7769482534512624,7.944733910363585,0.2372649363092268,0.7535919947924601,0.2360877573624946,0.4649914078891167,9.55728360235689
913,26.00311501538178,37.934715857590646,0,15.906637516127438,7.1541999737388124,0.0,0.0,0.0,5.798724896346515,0.0,0.0,6.1766628775126815,1.069098623815083,2.862151118453158,0.0,0.6914083830350154,0.0,0.0,3.6366584869587504,0.6412698217996476,0.0,0.0,2.184863281945399
914,20.82854982057585,-32.475226956011156,0,9.957795064428563,31.213011581671577,0.0,0.0,0.3471292547170008,0.5652569445770532,0.0,0.43639146300796466,0.0,8.550964457434667,0.05805294469187743,0.0,0.0,0.18504694832012727,9.50363618663775,0.5265458709662313,3.639710936922661,4.182098421714012,4.240461486189593,8.935511730921203
915,20.030859772705462,48.125336687744465,0,18.282812061681675,16.822464725018904,0.0,0.0,0.0,0.0,0.0,3.301462039555658,14.981350022126017,0.0,0.0,0.0,0.0,1.4536831068983123,0.8860665357582125,0.8661715240312914,7.1658369993481275,1.025556569772616,0.7467169288014632,4.67843306040888
916,49.13671707737775,40.673627078765804,0,23.27007214344386,5.501605358909481,0.0,20.02037378872768,0.793117121695042,0.0,1.1361813780896575,0.0,0.0,0.0,1.3203998549314795,0.0,0.0,0.0,0.0,0.0,1.6787711361720488,2.118847066321266,0.6969791466072119,1.0070080098089549
917,30.10800626386105,-20.448686890959976,0,40.95045136436651,22.85177399162489,0.0,3.8149256823507494,10.184031793414782,0.45043335379282123,0.5454122103537508,0.6627298814406123,0.40572172712306953,22.55915135399065,2.3280453619000734,0.0,0.0,0.0,0.0,8.210172944150353,1.6523473665856376,6.957124626929514,2.3930613054300673,3.639067748529318
918,37.58603001322829,-10.125664881117856,0,35.44331957529531,2.72592461385595,0.0,0.0,3.935107372353969,0.0,9.11321776894184,3.816823480174997,7.556971520108243,6.930809410581091,4.090390023135175,0.0,0.0,0.0,0.0,0.23343109528926492,0.799862723931108,0.7612714078488161,0.931359386786761,0.0
919,31.669375165493587,-39.92675735553048,0,0.0,29.922146493183682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.965354014604301,0.0,6.533767636217804,0.0,4.614009614639043,1.055970261170964,3.753044966551572
920,47.52663273779141,-22.30018605668539,0,79.29723037620965,15.911272324233622,0.0,25.58338035837546,0.0,0.31552455835856114,0.0,27.910174346255207,23.984394064995346,0.0,1.5037570482250815,0.0,0.0,0.0,0.0,0.0,0.357992492399991,4.340454358841512,11.212825472992119,0.0
921,4.449619247370313,19.25695887708916,0,27.959031174471058,12.578705868624974,0.0,0.0,9.065229897118098,3.5009506889798443,1.3357511767298982,14.057099411643215,0.0,0.0,0.0,0.0,0.0,0.0,1.1980047352803493,0.0,4.717621107818687,0.5398997616666138,2.9363463673397128,3.1868338965196106
922,19.09482785989803,-41.23808965319093,0,0.11391312550457819,28.007872559470414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11391312550457819,0.0,0.0,0.0,0.0,0.0,5.606508616757651,4.7446363316744815,8.202849232109028,5.700231743138245,3.7536466357910063
