num,x,y,spp,dbh01,dbh04,hgt,crd1,crd2,crd3,crd4,crd5,crd6,crd7,crd8,crd9,crd,kabudachi,growth
26,1.739478099,16.78526919,lc,3.787887646,4.901972247,4.1,0.0,0.0,0.0,0.0,1.4286755568376663,10.512248594243497,0.0,0.25878983522193544,21.087095018223696,33.286809004526795,0.0,0.3713615336666665
29,0.666363461,24.8645719,lc,1.5,2.03,2.0,5.31987727764983,0.0,0.0,2.2566477964094074,0.698895248681808,10.161302553764463,0.0,3.5617383002031793,16.251323593660594,38.249784770369274,0.0,0.1766666666666666
42,6.367279825,26.70971293,lc,0.5,1.16,1.7,41.39662815053937,6.998862099465652,0.0,4.341279915385735,15.625708313310351,2.722414324397875,3.3980351713749437,0.10509980006943695,2.0440440788827003,76.63207185342607,0.0,0.21999999999999997
43,6.053356138,26.91469301,lc,0.86,1.74,1.9,39.87455335213653,0.0,6.199575942559531,4.204083561422393,10.204712050117198,7.963106192854301,2.6251590089818397,0.10919606212545106,0.7055067670645229,71.88589293726176,0.0,0.29333333333333333
45,3.822607795,29.70425523,lc,1.32,2.641972055,2.1,0.0,0.9605983325414522,3.546970828383082,3.899597392330536,0.5469712418094347,6.47319615731106,0.27976673872574276,1.837943193716548,15.713582002809218,33.258625887627076,0.0,0.4406573516666667
47,1.795639267,29.97974346,lc,2.06,3.565070725,3.3,4.982154545567132,0.0,3.079373057265656,0.0,1.6680557494602914,6.185426419009884,3.168577219499166,2.732625495003042,1.933077702170381,23.74929018797555,0.0,0.5016902416666666
58,5.641860825,31.12071519,lc,0.62,1.3,1.8,0.0,2.843275557404279,0.572505673147642,2.150519538672344,4.201604935911684,1.3095435233777295,4.1313187404736835,8.056349704834963,9.366703689873868,32.63182136369619,0.0,0.22666666666666668
63,6.947155442,41.76831485,lc,2.32,2.48,2.9,20.138156709707488,1.0549368710664744,1.1668697749226038,11.448161466591532,4.258627807181641,5.567487077571815,4.428315980764733,1.9625723467392344,1.3722828536515035,51.39741088819702,0.0,0.05333333333333338
64,6.952318085,42.0499359,lc,1.38,1.98,3.2,32.37016017256009,0.939827107846428,1.0727047512345647,1.6648283585803696,16.14590859957733,2.9206370982165413,5.562600157688417,0.12382277699177528,2.3832474435152036,63.18373646621072,0.0,0.20000000000000004
69,3.513090537,47.80897508,lc,5.188451145,6.238873769,5.4,0.0,6.612886290170383,0.0,0.0,0.0,1.4352821201191532,9.883011733969918,11.086578687624499,7.072824325364513,36.09058315724847,0.0,0.3501408746666665
70,4.830692327,46.32037256,lc,13.1461983,14.16478994,9.7,0.0,2.609928487385538,0.0,0.8607861267226224,3.358736315249022,4.242164109085541,16.850978110976403,1.8757919663537739,7.395921561711374,37.19430667748428,0.0,0.33953054666666677
71,9.974723798,48.32314466,lc,0.6,0.82,1.7,0.0,7.153457998176234,12.291283894500095,1.8323127862869812,0.0,6.525452690008405,7.616314945764456,1.8941520903383449,1.5725690062057796,38.885543411280295,0.0,0.07333333333333332
72,10.97700002,48.18155678,lc,0.8,1.23,1.8,13.573677915647929,14.336182255426829,0.0,2.1707655691734318,2.867316949201621,0.0,8.538421156306038,4.932700063052888,1.5195123279239164,47.93857623673266,0.0,0.1433333333333333
74,11.40746122,46.88392165,lc,18.36648043,18.71662131,11.3,0.0,9.387114874672758,0.29545183296129424,2.669628577907736,0.0,5.263871909016082,6.0576020880152095,2.6163298432188635,3.473193847766776,29.76319297355872,0.0,0.11671362666666714
75,12.35848164,45.37054905,lc,4.583662361,5.53859202,3.7,0.0,10.275629122494983,5.715584916071073,4.093501952546527,0.0,2.463583405534322,3.435268777025008,5.467123656224345,4.613110692977094,36.06380252287335,0.0,0.3183098863333334
79,18.44637621,46.09510895,lc,2.896619964,3.819718634,3.0,0.0,1.2435462438691103,1.0825741255511843,6.93860768562736,0.0,0.9485863257671874,4.27139872880163,14.176072670976513,6.229662340295429,34.890448120888415,0.0,0.30769955666666665
83,12.78503073,39.99139538,lc,1.61,2.76929601,2.9,0.0,0.0,6.23123544130641,0.0,5.748528943426429,2.8814642834313884,4.567036829597749,3.4068530269049404,2.4322090144028694,25.267327539069786,0.0,0.38643200333333333
