#num,x,y,spp,dbh01,dbh04,hgt,sprout
88,19.49491609,28.80229213,bp,2.53,2.641972055,2.9,94
89,19.16681091,28.65414696,bp,1.87,2.21,2.8,94
90,19.01433591,28.50552349,bp,1.86,2.07,2.6,94
91,19.28818616,28.62802263,bp,12.15943765,12.3185926,7.4,94
92,19.56290792,28.4251192,bp,3.16,3.660563691,3.7,94
93,19.5558921,28.66597854,bp,0.69,0.72,1.6,94
94,19.07484955,28.29398063,bp,12.92338138,13.62366313,6.4,94
95,19.31219183,28.19753908,bp,2.02,2.74,3.4,94
96,19.39503726,28.23270488,bp,1.24,1.93,3.3,94
97,12.12479492,29.57558604,lc,7.480282325,0,4.7,0
98,10.31309044,24.7871772,lc,8.53070495,0,3.9,0
99,10.12049551,24.04790941,lc,2.928450953,4.169859509,3.6,0
100,17.68476396,23.66233855,lc,2.31,0,2.9,0
101,18.75067109,23.47523147,lc,1.19,0,2.1,0
102,18.88895975,21.51976962,lc,1.53,0,2.6,0
104,18.4808763,20.58078494,lc,1.34,0,2.1,0
105,19.69916376,20.65348857,bp,3.628732702,3.756056657,3.5,105
106,17.0620223,15.73914985,pt,1.7,2.35,2.8,0
107,18.06974471,14.41805618,pt,0.61,0.85,2,0
108,19.67472816,13.7331669,bp,0.44,0.8,1.6,111
109,19.51290635,13.84346365,bp,0.19,0.38,1.4,111
110,19.66967545,13.82849535,bp,1,1.28,2.4,111
111,19.45059203,13.83748748,bp,4.265352475,4.488169395,4.9,111
112,16.47161312,13.88853747,bp,8.785352859,9.549296586,6.3,112
113,13.69597415,10.57216703,lc,1.47,0,2.2,0
114,14.36820512,6.433147471,lc,0.14,1.02,1.4,0
115,16.9360032,5.527596549,lc,0.65,1.25,1.8,0
116,26.43986096,0.882151221,pt,25.46479089,0,1.8,0
117,27.83420218,1.017485213,pt,19.576058,19.8625369,10.5,0
118,29.99815712,0.191974424,lc,3.342253805,4.583662361,3.4,0
119,29.93960955,1.097343111,lc,3.374084794,4.456338407,4.5,0
120,26.52855826,4.760706567,pt,0.85,1.27,2.2,0
121,23.97564944,3.162374354,pt,10.3450713,10.53605723,9.9,0
122,22.47951462,3.634832496,pt,11.96845172,12.25493062,10.5,0
123,27.16131576,7.13636158,lc,1.34,0,2.4,0
124,29.52573977,6.844938409,lc,2.67,3.883380611,3.2,0
125,29.14163433,7.350062707,lc,2.14,0,2.9,0
126,21.83654062,11.59546112,bp,1.01,1.09,0,146
127,30.92838751,8.027698705,pt,8.116902098,0,8.1,0
128,31.28578707,8.199604269,pt,11.17267701,12.09577567,11,0
129,24.67635205,39.22583494,lc,1.28,2.228169203,2.5,0
132,27.06222387,8.97448572,pt,4.679155327,4.901972247,6,0
133,24.4813307,11.26108677,bp,4.456338407,4.742817304,8.5,139
134,24.48375705,11.3246776,bp,3.787887646,4.106197532,4.1,139
135,24.43156071,11.48465801,bp,8.467042972,8.626197916,7.1,139
136,24.25632119,10.97345114,bp,5.888732894,5.76140894,6.6,139
137,24.04266054,10.75532407,bp,0.63,1.27,2.3,139
138,23.97581063,10.57747275,bp,0.9,1.47,1.9,139
139,23.90415344,10.78510482,bp,11.14084602,11.55464887,1.6,139
140,23.81413609,10.89146298,bp,2.27,2.705634033,2.8,139
141,23.80324496,10.79989943,bp,0.55,0.58,1.5,139
142,23.77682103,11.15813707,bp,3.978873577,4.13802852,4.8,139
143,23.82222553,11.16380723,bp,5.029296202,5.411268065,5.5,139
144,24.31968047,11.74054771,bp,4.901972247,5.347606088,3.3,139
145,21.97132574,11.53273059,bp,1.33,0,1.3,146
146,21.7827579,10.54029764,bp,19.09859317,0,7.5,146
147,21.71355393,11.60416447,bp,2.29,2.450986124,2,146
